term,gene
AbSC_Pos_Bala_2023,Gapdh
AbSC_Pos_Bala_2023,Avpi1
AbSC_Pos_Bala_2023,Dsg2
AbSC_Pos_Bala_2023,Tgif1
AbSC_Pos_Bala_2023,Rps15
AbSC_Pos_Bala_2023,Shisa5
AbSC_Pos_Bala_2023,Glul
AbSC_Pos_Bala_2023,Tes
AbSC_Pos_Bala_2023,Bex3
AbSC_Pos_Bala_2023,Rpl36
AbSC_Pos_Bala_2023,Psmd7
AbSC_Pos_Bala_2023,Set
AbSC_Pos_Bala_2023,Llph
AbSC_Pos_Bala_2023,Atp6v1f
AbSC_Pos_Bala_2023,Ddit4
AbSC_Pos_Bala_2023,Arpc1b
AbSC_Pos_Bala_2023,Ddx24
AbSC_Pos_Bala_2023,Gpx2
AbSC_Pos_Bala_2023,Actn1
AbSC_Pos_Bala_2023,Hnrnpa3
AbSC_Pos_Bala_2023,Urah
AbSC_Pos_Bala_2023,Ntmt1
AbSC_Pos_Bala_2023,Ppp1ca
AbSC_Pos_Bala_2023,Ptms
AbSC_Pos_Bala_2023,Psma7
AbSC_Pos_Bala_2023,Rpl41
AbSC_Pos_Bala_2023,Dnajc2
AbSC_Pos_Bala_2023,Cdk4
AbSC_Pos_Bala_2023,Snrpe
AbSC_Pos_Bala_2023,H2afy
AbSC_Pos_Bala_2023,Smarcc1
AbSC_Pos_Bala_2023,1810022K09Rik
AbSC_Pos_Bala_2023,Sox9
AbSC_Pos_Bala_2023,Rpl6
AbSC_Pos_Bala_2023,Rpl31
AbSC_Pos_Bala_2023,Psmd4
AbSC_Pos_Bala_2023,Rnh1
AbSC_Pos_Bala_2023,Mafg
AbSC_Pos_Bala_2023,Csrp1
AbSC_Pos_Bala_2023,Knop1
AbSC_Pos_Bala_2023,Gnl3
AbSC_Pos_Bala_2023,Chd4
AbSC_Pos_Bala_2023,Ehf
AbSC_Pos_Bala_2023,H2-T22
AbSC_Pos_Bala_2023,Nedd4
AbSC_Pos_Bala_2023,1110004F10Rik
AbSC_Pos_Bala_2023,Bcas2
AbSC_Pos_Bala_2023,Mbd3
AbSC_Pos_Bala_2023,Cct5
AbSC_Pos_Bala_2023,Psmb5
AbSC_Pos_Bala_2023,1500011B03Rik
AbSC_Pos_Bala_2023,H3f3b
AbSC_Pos_Bala_2023,Parp14
AbSC_Pos_Bala_2023,Ptma
AbSC_Pos_Bala_2023,Irf1
AbSC_Pos_Bala_2023,Epb41l4aos
AbSC_Pos_Bala_2023,2010111I01Rik
AbSC_Pos_Bala_2023,Tubb2b
AbSC_Pos_Bala_2023,Cenpm
AbSC_Pos_Bala_2023,Polr2f
AbSC_Pos_Bala_2023,Rpl11
AbSC_Pos_Bala_2023,Tap1
AbSC_Pos_Bala_2023,Hnrnpdl
AbSC_Pos_Bala_2023,Ube2s
AbSC_Pos_Bala_2023,Nenf
AbSC_Pos_Bala_2023,Srrm2
AbSC_Pos_Bala_2023,Mt1
AbSC_Pos_Bala_2023,Rpl38
AbSC_Pos_Bala_2023,Eif5a
AbSC_Pos_Bala_2023,Cd24a
AbSC_Pos_Bala_2023,Snrpb
AbSC_Pos_Bala_2023,Lsm7
AbSC_Pos_Bala_2023,Gipc1
AbSC_Pos_Bala_2023,Kcne3
AbSC_Pos_Bala_2023,Arid5b
AbSC_Pos_Bala_2023,Tuba1b
AbSC_Pos_Bala_2023,Sssca1
AbSC_Pos_Bala_2023,Rps23
AbSC_Pos_Bala_2023,Tra2a
AbSC_Pos_Bala_2023,Fdft1
AbSC_Pos_Bala_2023,Id1
AbSC_Pos_Bala_2023,H2-Aa
AbSC_Pos_Bala_2023,Rpl27
AbSC_Pos_Bala_2023,Ptov1
AbSC_Pos_Bala_2023,Grn
AbSC_Pos_Bala_2023,Fbl
AbSC_Pos_Bala_2023,Ube2l6
AbSC_Pos_Bala_2023,Myl12b
AbSC_Pos_Bala_2023,Serbp1
AbSC_Pos_Bala_2023,Aplp2
AbSC_Pos_Bala_2023,Mybbp1a
AbSC_Pos_Bala_2023,Psmc4
AbSC_Pos_Bala_2023,Qtrt1
AbSC_Pos_Bala_2023,Med21
AbSC_Pos_Bala_2023,Map1lc3b
AbSC_Pos_Bala_2023,Prom1
AbSC_Pos_Bala_2023,Lmo7
AbSC_Pos_Bala_2023,Tpi1
AbSC_Pos_Bala_2023,Rpl26
AbSC_Pos_Bala_2023,Srsf11
AbSC_Pos_Bala_2023,Rpl19
AbSC_Pos_Bala_2023,Nme4
AbSC_Pos_Bala_2023,Erh
AbSC_Pos_Bala_2023,Rbm25
AbSC_Pos_Bala_2023,Npc2
AbSC_Pos_Bala_2023,Chic2
AbSC_Pos_Bala_2023,Itga6
AbSC_Pos_Bala_2023,Rps14
AbSC_Pos_Bala_2023,Rps19
AbSC_Pos_Bala_2023,Lgals9
AbSC_Pos_Bala_2023,Tagln2
AbSC_Pos_Bala_2023,Cct7
AbSC_Pos_Bala_2023,Ppp1r2
AbSC_Pos_Bala_2023,Rpl14
AbSC_Pos_Bala_2023,Raly
AbSC_Pos_Bala_2023,Tpm3
AbSC_Pos_Bala_2023,Ctsd
AbSC_Pos_Bala_2023,Btf3
AbSC_Pos_Bala_2023,Arpp19
AbSC_Pos_Bala_2023,Cdca7
AbSC_Pos_Bala_2023,Bola2
AbSC_Pos_Bala_2023,Nolc1
AbSC_Pos_Bala_2023,Psma2
AbSC_Pos_Bala_2023,Acer2
AbSC_Pos_Bala_2023,Srsf7
AbSC_Pos_Bala_2023,Bnip3l
AbSC_Pos_Bala_2023,Tcof1
AbSC_Pos_Bala_2023,Sf3b3
AbSC_Pos_Bala_2023,Eif3d
AbSC_Pos_Bala_2023,Ilf2
AbSC_Pos_Bala_2023,Bclaf1
AbSC_Pos_Bala_2023,Snu13
AbSC_Pos_Bala_2023,Ebna1bp2
AbSC_Pos_Bala_2023,Snrpd1
AbSC_Pos_Bala_2023,Snrnp70
AbSC_Pos_Bala_2023,Ranbp1
AbSC_Pos_Bala_2023,Ift43
AbSC_Pos_Bala_2023,Rps18
AbSC_Pos_Bala_2023,Ass1
AbSC_Pos_Bala_2023,Siva1
AbSC_Pos_Bala_2023,Rplp0
AbSC_Pos_Bala_2023,Lsr
AbSC_Pos_Bala_2023,Rpl13a
AbSC_Pos_Bala_2023,Rpl12
AbSC_Pos_Bala_2023,Tpm1
