sgRNA,Gene,Day3.bulk.no1,Day9.bulk.no1,Day9.CD11b.low.no1,Day9.CD11b.high.no1,Day3.bulk.no2,Day9.bulk.no2,Day9.CD11b.low.no2,Day9.CD11b.high.no2
sgRNA_3657,DZIP3,133.1291418,166.3817947,168.7683133,161.3106576,91.01519454,208.5074583,138.3671354,48.87716295
sgRNA_1965,SMARCD3,377.2987338,610.5973042,408.6347672,562.2010494,212.6605026,536.582753,625.6171195,285.4426316
sgRNA_458,JHDM1D,580.8728924,782.5516949,540.0586027,623.2891091,394.6908917,840.5088787,733.3458178,551.334398
sgRNA_1354,MED26,46.56535006,81.99676966,103.4154771,124.0851213,51.19604693,85.99460146,34.59178386,11.73051911
sgRNA_1297,C11orf30,205.3651336,386.8973792,208.9854433,730.1932135,144.8366798,256.8057962,320.2210849,279.5773721
sgRNA_4112,NSUN6,108.6524835,174.3426462,208.9854433,239.5797341,87.51461014,150.7850546,281.6759543,44.96698991
sgRNA_5386,METTL10,171.3366086,257.9315861,216.8852367,247.2157416,133.0222074,248.5597385,324.1744316,187.6883057
sgRNA_2779,PTBP2,179.0975002,134.5383891,217.6033998,233.8527285,94.953352,199.0833924,175.9239293,78.20346072
sgRNA_3573,SETD5,67.46005842,135.3344742,151.5324005,219.5352145,122.5204542,179.6462565,109.7053717,27.37121125
sgRNA_947,MEX3C,341.4792338,586.7147499,580.2757327,673.8776585,202.5963225,493.5854522,647.3605265,568.9301767
sgRNA_2297,NonTargetingControlGuideForHuman_0737,255.5124337,426.7016363,420.8435388,385.6183768,167.5904784,308.0491546,301.4426879,172.0476136
sgRNA_1842,MED30,250.1395087,261.1159267,273.6201165,879.095359,174.1540742,356.3474924,444.7515068,279.5773721
sgRNA_2353,SSRP1,260.288367,260.3198415,249.2025733,543.1110307,184.6558274,419.3709332,347.894512,222.879863
sgRNA_4869,CHD2,218.4989503,238.8255427,320.3007138,489.6589785,131.2719152,347.5124306,345.9178386,224.8349496
sgRNA_3912,DMAP1,168.3516502,252.3589901,236.2756387,166.0831623,78.76314913,202.028413,197.6673363,56.69750902
sgRNA_2931,NEIL1,145.0689752,160.8091988,160.1503569,245.3067397,70.01168811,220.8765449,220.39908,33.2364708
sgRNA_4742,ACTL6A,265.661292,432.2742323,556.5763525,483.9319729,243.2906162,387.5647107,576.2002854,144.6764023
sgRNA_1718,SIRT5,286.5560004,406.7995077,322.4552029,378.9368703,201.2836033,408.1798549,430.9147932,451.6249856
sgRNA_2365,PRDM2,117.6073585,304.9006095,339.6911158,403.7538945,156.2135791,341.0333853,301.4426879,230.7002091
sgRNA_4061,SFMBT1,78.8029001,134.5383891,142.9144441,233.8527285,65.19838455,157.8531041,149.2388389,33.2364708
sgRNA_188,SAMD11,115.2193918,187.0800084,236.9938017,220.4897155,87.07703709,205.5624377,139.3554721,54.7424225
sgRNA_5513,EZH2,192.8283086,187.0800084,242.020943,272.9872668,122.9580272,227.9445943,282.664291,66.47294161
sgRNA_743,TRA2B,610.7224758,815.9872709,492.6598424,874.3228544,385.9394307,839.9198746,972.5232948,660.819243
sgRNA_273,MTHFSD,260.288367,262.708097,311.6827574,301.6222947,136.0852188,288.0230145,195.690663,144.6764023
sgRNA_891,FMR1,157.6058002,233.2529467,229.8121714,229.0802239,90.57762149,226.7665861,235.2241302,39.10173036
sgRNA_4022,NonTargetingControlGuideForHuman_0707,151.6358835,277.8337147,445.979245,283.486777,125.1458925,259.1618126,357.7778788,64.51785509
sgRNA_1580,NEIL3,373.7167838,597.8599419,410.0710933,446.7064365,197.3454459,437.6300609,300.4543512,396.8825631
sgRNA_4723,EDF1,133.7261335,245.1942238,205.3946282,221.4442164,155.776006,223.2325613,360.7428888,306.9485833
sgRNA_518,SAMD3,167.7546585,245.990309,315.2735726,307.3493003,117.2695776,280.3659609,448.7048535,177.9128731
sgRNA_1913,PRMT7,434.6099339,589.1030053,528.5679941,1179.763153,346.5578562,754.5142772,744.2175213,692.1006273
sgRNA_2970,METTL16,97.90663346,70.85157767,78.27977087,69.67856809,58.19721574,86.58360558,51.39350745,29.32629777
sgRNA_3977,SAFB2,210.7380586,264.3002673,384.217224,310.2128031,143.0863876,269.1748827,196.6789997,381.241871
sgRNA_605,RC3H2,122.3832918,294.5515027,205.3946282,383.709375,136.0852188,279.1879527,199.6440097,97.75432589
sgRNA_2174,METTL15,95.51866679,173.546561,220.4760519,203.3086987,87.51461014,148.4290381,224.3524268,123.1704506
sgRNA_1503,METTL21C,325.9574504,411.5760186,307.3737792,389.4363805,187.2812657,385.2086942,296.5010045,287.3977181
sgRNA_5134,RBMXL2,165.3666919,183.8956679,198.2129978,195.6726912,85.76431794,161.9761329,109.7053717,99.70941241
sgRNA_1821,SASH3,358.7919921,451.3802757,547.2402331,580.3365671,233.6640091,451.7661597,625.6171195,285.4426316
sgRNA_1370,RSF1,329.5394004,597.0638567,741.8624157,556.4740438,316.3653157,570.1559878,761.0192449,220.9247765
sgRNA_2893,METTL9,105.0705335,167.1778799,206.1127912,191.8546875,63.44809235,197.3163801,183.8306228,66.47294161
sgRNA_2414,PHF21B,408.9392922,544.5222374,573.0941023,562.2010494,290.9860787,629.6454039,610.7920693,625.6276857
sgRNA_1569,METTL3,237.005692,238.0294576,191.0313674,332.1663246,143.9615337,342.8003976,208.5390398,285.4426316
sgRNA_489,MEX3C,271.034217,376.5482723,423.7161909,598.4720848,164.089894,510.6665717,331.0927884,246.3409013
sgRNA_2862,PCBP4,199.9922086,305.6966947,273.6201165,406.6173973,147.8996911,285.0779939,381.4979591,162.272181
sgRNA_220,PABPC3,352.2250838,487.2041071,549.3947222,415.2079057,271.7328645,442.3420938,582.1303055,430.1190339
sgRNA_3756,TP73,339.6882588,620.1503259,904.8854247,533.5660214,271.2952914,612.5642844,787.7043353,451.6249856
sgRNA_1895,HNRNPAB,199.3952169,263.5041821,305.9374531,204.2631996,137.3979379,182.5912771,243.1308237,129.0357102
sgRNA_3748,RBM23,240.587642,257.9315861,418.6890497,393.2543843,104.5799591,369.305583,417.0780797,211.1493439
sgRNA_5004,CTBP1,223.2748836,411.5760186,494.0961684,361.7558535,194.2824345,454.7111803,185.8072962,189.6433922
sgRNA_804,SFMBT2,192.8283086,253.9511604,220.4760519,443.8429337,126.4586117,255.0387838,375.5679391,136.8560563
sgRNA_989,PRMT8,97.90663346,222.1077547,137.8873028,228.1257229,87.07703709,217.3425201,345.9178386,242.4307282
sgRNA_1216,USP21,228.6478086,196.6330302,196.0585087,210.9447061,120.770162,197.3163801,187.7839695,50.83224946
sgRNA_4175,TMEM63A,385.6566172,642.4407099,820.8603496,559.3375466,260.3559652,624.9333709,614.745416,484.8614564
sgRNA_1644,PPP1R10,177.9035169,193.4486896,203.9583021,351.2563432,96.7036442,270.3528909,316.2677382,156.4069214
sgRNA_5173,TDG,113.4284168,124.9853673,80.43425998,253.8972481,66.51110371,196.1383718,169.0055726,27.37121125
sgRNA_4114,METTL18,140.2930418,230.8646913,163.7411721,259.6242537,99.32908251,235.6016478,383.4746325,146.6314888
sgRNA_25,ACIN1,181.4854669,350.2774626,351.8998874,365.5738572,132.5846344,275.0649239,330.1044517,127.0806237
sgRNA_1082,TRDMT1,90.14574178,61.29855596,188.1587153,99.268097,59.94750795,66.55746552,102.7870149,5.865259554
sgRNA_637,SUZ12,183.8734336,276.2415444,293.0105185,461.9784514,154.4632869,308.6381587,193.7139896,37.14664384
sgRNA_4896,ZCRB1,176.1125419,236.4372873,270.7474644,313.0763059,108.9556896,217.9315243,276.7342709,162.272181
sgRNA_5234,TRIM24,357.5980088,387.6934643,376.3174306,357.9378498,220.0992445,438.219065,430.9147932,207.2391709
sgRNA_3876,MCTS1,206.5591169,255.5433307,387.0898761,252.9427472,122.9580272,253.2717714,338.9994818,52.78733598
sgRNA_4619,SAMD13,398.1934422,464.9137231,662.1463187,594.6540811,227.9755594,481.8053698,365.6845722,312.8138429
sgRNA_2592,HIST1H1T,290.1379504,586.7147499,496.2506575,632.8341184,224.037402,486.5174028,624.6287828,543.514052
sgRNA_1215,ATF2,207.1561086,327.9870786,196.7766717,325.4848181,135.6476457,314.5281999,251.0375172,303.0384103
sgRNA_1050,ZC3H12C,265.0643003,378.1404426,354.7725395,507.7944962,187.7188387,378.1406448,252.0258538,175.9577866
sgRNA_1395,REST,180.8884752,307.2888649,172.3591285,252.9427472,124.7083194,307.4601504,303.4193613,142.7213158
sgRNA_443,MED12L,182.6794502,203.7977964,287.9833772,356.0288479,176.7795125,297.4470804,366.6729089,209.1942574
sgRNA_1879,KIAA0430,456.1016339,765.8339069,631.2653082,811.3257928,346.1202831,773.362409,607.8270593,799.6303858
sgRNA_4707,ING3,312.2266421,389.2856346,409.3529302,428.5709188,194.2824345,394.043756,406.2063762,158.3620079
sgRNA_391,METTL11B,337.3002921,583.5304093,348.3090722,512.5670009,280.4843255,521.85765,600.9087025,506.3674081
sgRNA_2821,SETD1B,645.9449842,983.9612359,1175.632889,936.365415,445.4493656,1094.958658,1439.018209,731.2023577
sgRNA_5496,SMARCA4,323.5694837,515.0670871,542.9312548,441.9339318,219.6616714,470.6142916,426.9614465,404.7029092
sgRNA_2358,NonTargetingControlGuideForHuman_0757,264.4673087,386.101294,451.0063863,498.2494869,250.291785,548.3628354,459.576557,420.3436013
sgRNA_4516,PRDM1,324.1664754,457.7489568,498.4051466,583.2000699,210.9102104,422.3159538,451.6698635,142.7213158
sgRNA_1048,METTL6,155.8148252,196.6330302,167.3319873,314.9853078,94.51577895,161.3871288,233.2474569,107.5297585
sgRNA_2793,H1FNT,372.5228005,603.4325379,536.4677875,575.5640624,236.7270204,613.7422926,483.2966374,713.606579
sgRNA_5452,SMYD2,303.8687587,361.4226546,550.8310482,374.1643656,160.1517366,361.0595253,484.284974,162.272181
sgRNA_1412,TDRD10,198.7982253,296.9397581,536.4677875,250.0792444,137.835511,303.9261257,345.9178386,154.4518349
sgRNA_779,SNRPD3,451.3257006,661.5467533,614.7475584,644.2881296,364.9359243,767.4723679,747.1825314,666.6845026
sgRNA_898,YTHDF1,292.525917,416.3525294,308.0919422,373.2098647,178.5298047,328.0752946,391.381326,72.33820116
sgRNA_1579,MED14,251.333492,135.3344742,184.5679001,727.3297107,143.0863876,220.8765449,266.8509041,293.2629777
sgRNA_356,ALKBH6,263.870317,396.4504009,428.7433322,408.5263992,150.0875564,394.043756,212.4923866,275.667199
sgRNA_2877,LARP4,91.33972512,113.8401754,143.6326071,121.2216185,40.69429371,118.389828,101.7986782,7.820346072
sgRNA_1724,METTL21A,74.62395843,100.3067279,78.99793391,177.5371735,70.01168811,111.3217786,109.7053717,68.42802813
sgRNA_642,CXXC1,396.4024672,551.6870036,326.7641812,1296.212267,365.3734973,551.8968601,224.3524268,437.93938
sgRNA_682,HMGN2,206.5591169,384.5091237,303.782964,329.3028218,139.1482301,365.1825542,268.8275774,389.0622171
sgRNA_1610,TRA2A,330.7333838,421.9251254,496.9688206,287.3047807,241.540324,412.8918878,374.5796024,439.8944665
sgRNA_3983,BRD4,507.4429173,513.4749168,670.7642752,581.291068,252.9172233,511.8445799,485.2733107,492.6818025
sgRNA_1358,UPF3B,195.2162753,234.845117,145.0689332,316.8943097,113.3314201,242.0806932,328.1277783,152.4967484
sgRNA_5191,RCAN2,214.9170003,330.3753341,324.609692,346.4838386,126.8961847,223.2325613,310.3377181,172.0476136
sgRNA_2491,RBM20,251.333492,507.1062357,583.8665479,314.0308069,192.5321423,495.3524646,434.86814,234.6103821
sgRNA_318,RBMY1D,317.0025754,413.1681889,700.2089596,361.7558535,259.043246,532.4597241,462.541567,132.9458832
