"","x"
"9035","Afm"
"9036","5830473C10Rik"
"9037","Rassf6"
"9038","Cxcl5"
"9039","Ppbp"
"9040","Pf4"
"9041","Cxcl3"
"9042","Cxcl15"
"9043","Gm43086"
"9044","Cxcl1"
"9045","Cxcl2"
"9046","Gm42530"
"9047","Mthfd2l"
"9048","Epgn"
"9049","Gm42532"
"9050","Ereg"
"9051","Areg"
"9052","Gm19619"
"9053","Btc"
"9054","Parm1"
"9055","Gm28271"
"9056","1700063O14Rik"
"9057","Gm43688"
"9058","Rchy1"
"9059","Gm1045"
"9060","Cdkl2"
"9061","Gm26582"
"9062","G3bp2"
"9063","Uso1"
"9064","U90926"
"9065","Ppef2"
"9066","Naaa"
"9067","Sdad1"
"9068","Gm43599"
"9069","Cxcl9"
"9070","Art3"
"9071","Cxcl10"
"9072","Nup54"
"9073","Scarb2"
"9074","Fam47e"
"9075","Stbd1"
"9076","Ccdc158"
"9077","Shroom3"
"9078","4932430I15Rik"
"9079","Sowahb"
"9080","Sept11"
"9081","Ccni"
"9082","2010109A12Rik"
"9083","Ccng2"
"9084","Gm16427"
"9085","C87414"
"9086","Gm7792"
"9087","Gm16429"
"9088","BC061212"
"9089","Gm6351"
"9090","Gm3106"
"9091","Gm16522"
"9092","Gm6502"
"9093","AA792892"
"9094","Gm7682"
"9095","Gm3139"
"9096","Gm3147"
"9097","Gm6509"
"9098","Gm6205"
"9099","Gm3183"
"9100","Gm6367"
"9101","Gm7942"
"9102","Gm16513"
"9103","Gm10424"
"9104","Gm3259"
"9105","D5Ertd577e"
"9106","Gm3286"
"9107","Gm7971"
"9108","Gm7978"
"9109","Gm7982"
"9110","E330014E10Rik"
"9111","Cxcl13"
"9112","Cnot6l"
"9113","Mrpl1"
"9114","Fras1"
"9115","Gm33050"
"9116","Gm42604"
"9117","Anxa3"
"9118","1700016F12Rik"
"9119","Gm42601"
"9120","Gm33370"
"9121","Gm8013"
"9122","Gm9484"
"9123","Bmp2k"
"9124","Paqr3"
"9125","Gm43146"
"9126","Gm2861"
"9127","Gm33969"
"9128","Naa11"
"9129","4930467D21Rik"
"9130","Gk2"
"9131","Antxr2"
"9132","Prdm8"
"9133","A730035I17Rik"
"9134","Fgf5"
"9135","1700007G11Rik"
"9136","Gm11111"
"9137","1700010H22Rik"
"9138","Bmp3"
"9139","Prkg2"
"9140","Gm43251"
"9141","Rasgef1b"
"9142","Gm43252"
"9143","A930011G23Rik"
"9144","Gm43253"
"9145","4930405H06Rik"
"9146","Gm16226"
"9147","4930522N08Rik"
"9148","Gm43248"
"9149","Gm35911"
"9150","Gm42691"
"9151","Hnrnpd"
"9152","Gm17092"
"9153","4930524J08Rik"
"9154","Hnrnpdl"
"9155","Enoph1"
"9156","Tmem150c"
"9157","Tmem150cos"
"9158","Gm9932"
"9159","2310034O05Rik"
"9160","Sec31a"
"9161","5430416N02Rik"
"9162","Lin54"
"9163","Cops4"
"9164","Plac8"
"9165","Coq2"
"9166","Gm15777"
"9167","Hpse"
"9168","Helq"
"9169","Mrps18c"
"9170","Fam175a"
"9171","4930458D05Rik"
"9172","Agpat9"
"9173","Gm36793"
"9174","Gm20484"
"9175","Nkx6-1"
"9176","Gm43271"
"9177","Gm43270"
"9178","Cds1"
"9179","Wdfy3"
"9180","Gm20548"
"9181","Gm29707"
"9182","1700013M08Rik"
"9183","Arhgap24"
"9184","Mapk10"
"9185","4930429D17Rik"
"9186","Gm42618"
"9187","5430427N15Rik"
"9188","Ptpn13"
"9189","Gm42620"
"9190","Slc10a6"
"9191","1700016H13Rik"
"9192","Aff1"
"9193","Klhl8"
"9194","Hsd17b13"
"9195","Hsd17b11"
"9196","Nudt9"
"9197","Gm17660"
"9198","Sparcl1"
"9199","Gm26703"
"9200","Dspp"
"9201","Dmp1"
"9202","Gm42792"
"9203","Ibsp"
"9204","Mepe"
"9205","Spp1"
"9206","Pkd2"
"9207","BC005561"
"9208","D930016D06Rik"
"9209","Zfp951"
"9210","Abcg3"
"9211","Gbp8"
"9212","Gbp9"
"9213","Gbp4"
"9214","Gbp6"
"9215","Gbp10"
"9216","Gbp6.1"
"9217","Gm26519"
"9218","Gm42749"
"9219","Lrrc8b"
"9220","Lrrc8c"
"9221","Lrrc8d"
"9222","Lrrc8dos"
"9223","Zfp326"
"9224","Gm32736"
"9225","Gm32921"
"9226","Gm42914"
"9227","4930432H08Rik"
"9228","Gm42916"
"9229","Barhl2"
"9230","Gm26872"
"9231","Gm28050"
"9232","Gm29464"
"9233","Gm17304"
"9234","Zfp644"
"9235","Hfm1"
"9236","Cdc7"
"9237","Gm43419"
"9238","Tgfbr3"
"9239","Brdt"
"9240","Gm42902"
"9241","Ephx4"
"9242","Gm17202"
"9243","Lpcat2b"
"9244","Btbd8"
"9245","A830010M20Rik"
"9246","Gm42669"
"9247","1700028K03Rik"
"9248","Glmn"
"9249","Rpap2"
"9250","A930041C12Rik"
"9251","Gm26692"
"9252","4930428O21Rik"
"9253","Gfi1"
"9254","Evi5"
"9255","Ube2d2b"
"9256","Rpl5"
"9257","Fam69a"
"9258","Mtf2"
"9259","Tmed5"
"9260","Ccdc18"
"9261","Dr1"
"9262","Pigg"
"9263","Gm43082"
"9264","Gm42518"
"9265","Gm42517"
"9266","Gm10419"
"9267","Pde6b"
"9268","Atp5k"
"9269","Mfsd7a"
"9270","Pcgf3"
"9271","Cplx1"
"9272","Gak"
"9273","Tmem175"
"9274","Dgkq"
"9275","Idua"
"9276","Slc26a1"
"9277","Fgfrl1"
"9278","Rnf212"
"9279","1700047L14Rik"
"9280","Tmed11"
"9281","Vmn2r8"
"9282","Vmn2r9"
"9283","Gm20629"
"9284","Vmn2r10"
"9285","Vmn2r11"
"9286","Vmn2r12"
"9287","Vmn2r13"
"9288","Vmn2r14"
"9289","Vmn2r15"
"9290","Vmn2r16"
"9291","Vmn2r17"
"9292","Crlf2"
"9293","5430403G16Rik"
"9294","4930522L14Rik"
"9295","A430073D23Rik"
"9296","Gm26779"
"9297","Gm26808"
"9298","Gm15446"
"9299","1010001B22Rik"
"9300","Zfp932"
"9301","Gm17655"
"9302","Plcxd1"
"9303","Gtpbp6"
"9304","Zfp605"
"9305","Chfr"
"9306","Gm43136"
"9307","Golga3"
"9308","Gm43137"
"9309","Ankle2"
"9310","Pgam5"
"9311","Gm26718"
"9312","Gm15788"
"9313","Pxmp2"
"9314","Pole"
"9315","Gm15792"
"9316","P2rx2"
"9317","Lrcol1"
"9318","Fbrsl1"
"9319","Gm26711"
"9320","Gm42596"
"9321","A630023P12Rik"
"9322","Galnt9"
"9323","Noc4l"
"9324","Ddx51"
"9325","Gm42595"
"9326","Ep400"
"9327","Gm15559"
"9328","Pus1"
"9329","Gm26515"
"9330","Ulk1"
"9331","Hscb"
"9332","Chek2"
"9333","Ttc28"
"9334","Pitpnb"
"9335","Gm43118"
"9336","Mn1"
"9337","C130026L21Rik"
"9338","Gm42489"
"9339","Gm26897"
"9340","E130006D01Rik"
"9341","Gm16019"
"9342","Gm42487"
"9343","Gm42488"
"9344","Gm42491"
"9345","1700028D13Rik"
"9346","Miat"
"9347","Gm26953"
"9348","Cryba4"
"9349","Crybb1"
"9350","Tpst2"
"9351","Tfip11"
"9352","Srrd"
"9353","Hps4"
"9354","Gm6583"
"9355","Gm20636"
"9356","Asphd2"
"9357","Sez6l"
"9358","Gm6588"
"9359","Gm27004"
"9360","1700034G24Rik"
"9361","Gm42864"
"9362","Gm42865"
"9363","Myo18b"
"9364","1700095B10Rik"
"9365","Adrbk2"
"9366","Crybb2"
"9367","Crybb3"
"9368","2900026A02Rik"
"9369","Gm43095"
"9370","Tmem211"
"9371","Sgsm1"
"9372","Aym1"
"9373","Wscd2"
"9374","Cmklr1"
"9375","Gm15736"
"9376","1700069L16Rik"
"9377","Ficd"
"9378","Sart3"
"9379","Iscu"
"9380","Tmem119"
"9381","Selplg"
"9382","Coro1c"
"9383","Gm17122"
"9384","Gm42797"
"9385","Ssh1"
"9386","Dao"
"9387","Svop"
"9388","Usp30"
"9389","Alkbh2"
"9390","Ung"
"9391","Acacb"
"9392","Foxn4"
"9393","Myo1h"
"9394","Kctd10"
"9395","Ube3b"
"9396","Mmab"
"9397","Mvk"
"9398","Gm13790"
"9399","Fam222a"
"9400","Trpv4"
"9401","Gltp"
"9402","Tchp"
"9403","Gm42789"
"9404","Git2"
"9405","4930515G01Rik"
"9406","Ankrd13a"
"9407","1500011B03Rik"
"9408","Gm20499"
"9409","2610524H06Rik"
"9410","4930519G04Rik"
"9411","Gm9936"
"9412","Oasl2"
"9413","Gm13822"
"9414","Oasl1"
"9415","2210016L21Rik"
"9416","Hnf1a"
"9417","Hnf1aos1"
"9418","Hnf1aos2"
"9419","Sppl3"
"9420","Gm10401"
"9421","Acads"
"9422","Unc119b"
"9423","Mlec"
"9424","Cabp1"
"9425","Pop5"
"9426","Rnf10"
"9427","Coq5"
"9428","Dynll1"
"9429","Gm13830"
"9430","Srsf9"
"9431","Gatc"
"9432","Triap1"
"9433","Cox6a1"
"9434","Gm42903"
"9435","4930401G09Rik"
"9436","Gm13832"
"9437","Msi1"
"9438","4930430O22Rik"
"9439","Pla2g1b"
"9440","Sirt4"
"9441","Pxn"
"9442","Rplp0"
"9443","Gcn1l1"
"9444","1110006O24Rik"
"9445","Rab35"
"9446","Ccdc64"
"9447","Cit"
"9448","Gm14508"
"9449","Prkab1"
"9450","Gm13842"
"9451","Tmem233"
"9452","C330018A13Rik"
"9453","Ccdc60"
"9454","Gm14507"
"9455","Gm13837"
"9456","Gm13839"
"9457","Gm13838"
"9458","B230112J18Rik"
"9459","4930562A09Rik"
"9460","Hspb8"
"9461","Srrm4os"
"9462","Srrm4"
"9463","Gm43122"
"9464","Gm29926"
"9465","Suds3"
"9466","9530046B11Rik"
"9467","Taok3"
"9468","Pebp1"
"9469","BC051077"
"9470","Gm10399"
"9471","Vsig10"
"9472","Wsb2"
"9473","Rfc5"
"9474","Gm15728"
"9475","Ksr2"
"9476","Nos1"
"9477","Gm26995"
"9478","Fbxo21"
"9479","Tesc"
"9480","Fbxw8"
"9481","Gm9754"
"9482","Hrk"
"9483","Rnft2"
"9484","2410131K14Rik"
"9485","Gm28563"
"9486","Med13l"
"9487","Gm43782"
"9488","Gm43342"
"9489","4930413E15Rik"
"9490","1700081H04Rik"
"9491","Gm7538"
"9492","Gm31314"
"9493","Tbx3os1"
"9494","Gm16063"
"9495","Gm16064"
"9496","Tbx3"
"9497","Tbx3os2"
"9498","1700021F13Rik"
"9499","Gm43050"
"9500","Tbx5"
"9501","Gm43269"
"9502","Gm43277"
"9503","Rbm19"
"9504","Gm10390"
"9505","Gm42654"
"9506","Gm27199"
"9507","Lhx5"
"9508","Sdsl"
"9509","Sds"
"9510","Gm15690"
"9511","Plbd2"
"9512","Slc8b1"
"9513","Tpcn1"
"9514","Iqcd"
"9515","Rita1"
"9516","Ddx54"
"9517","Gm43579"
"9518","Cfap73"
"9519","Gm15749"
"9520","Rasal1"
"9521","Dtx1"
"9522","Oas2"
"9523","Oas3"
"9524","Gm43069"
"9525","Oas1e"
"9526","Oas1c"
"9527","Oas1f"
"9528","Oas1h"
"9529","Oas1g"
"9530","Oas1a"
"9531","Oas1d"
"9532","Rph3a"
"9533","Ptpn11"
"9534","Rpl6"
"9535","Gm15800"
"9536","Trafd1"
"9537","Gm42917"
"9538","Gm42918"
"9539","Naa25"
"9540","Erp29"
"9541","Tmem116"
"9542","Adam1b"
"9543","Adam1a"
"9544","Gm42878"
"9545","Mapkapk5"
"9546","Aldh2"
"9547","Acad12"
"9548","Acad10"
"9549","Brap"
"9550","Atxn2"
"9551","Gm16552"
"9552","Sh2b3"
"9553","1700008B11Rik"
"9554","Fam109a"
"9555","Cux2"
"9556","Gm3970"
"9557","Gm15637"
"9558","Myl2"
"9559","Ccdc63"
"9560","Ppp1cc"
"9561","Hvcn1"
"9562","Tctn1"
"9563","Pptc7"
"9564","Rad9b"
"9565","Vps29"
"9566","Fam216a"
"9567","Gpn3"
"9568","Arpc3"
"9569","Anapc7"
"9570","Atp2a2"
"9571","Ift81"
"9572","Gm43301"
"9573","P2rx7"
"9574","P2rx4"
"9575","Camkk2"
"9576","Anapc5"
"9577","Rnf34"
"9578","Kdm2b"
"9579","A930024E05Rik"
"9580","Gm2479"
"9581","Orai1"
"9582","Morn3"
"9583","Gm26745"
"9584","Tmem120b"
"9585","Rhof"
"9586","AI480526"
"9587","Gm38102"
"9588","4932422M17Rik"
"9589","Setd1b"
"9590","Psmd9"
"9591","Hpd"
"9592","Gm43409"
"9593","Wdr66"
"9594","Gm15857"
"9595","Gm15860"
"9596","Bcl7a"
"9597","Gm15747"
"9598","Mlxip"
"9599","Il31"
"9600","Lrrc43"
"9601","Diablo"
"9602","B3gnt4"
"9603","Vps33a"
"9604","Clip1"
"9605","Zcchc8"
"9606","Rsrc2"
"9607","Kntc1"
"9608","Hcar2"
"9609","Hcar1"
"9610","Denr"
"9611","Gm43518"
"9612","Ccdc62"
"9613","Hip1r"
"9614","Vps37b"
"9615","Gm34086"
"9616","Gm43661"
"9617","Abcb9"
"9618","Gm16001"
"9619","Ogfod2"
"9620","Arl6ip4"
"9621","Pitpnm2"
"9622","Pitpnm2os2"
"9623","Pitpnm2os1"
"9624","Gm42425"
"9625","Mphosph9"
"9626","2810006K23Rik"
"9627","Cdk2ap1"
"9628","Sbno1"
"9629","Setd8"
"9630","Rilpl2"
"9631","Snrnp35"
"9632","Rilpl1"
"9633","Tmed2"
"9634","Ddx55"
"9635","Eif2b1"
"9636","Gtf2h3"
"9637","Atp6v0a2"
"9638","4930404A12Rik"
"9639","Dnah10"
"9640","Gm43777"
"9641","Ccdc92"
"9642","Zfp664"
"9643","Fam101a"
"9644","Ncor2"
"9645","Gm42838"
"9646","Gm42839"
"9647","Gm42637"
"9648","Scarb1"
"9649","Gm42485"
"9650","Ubc"
"9651","Gm10382"
"9652","Dhx37"
"9653","Bri3bp"
"9654","Aacs"
"9655","Tmem132b"
"9656","1700048F04Rik"
"9657","Gm42945"
"9658","Gm42952"
"9659","Gm42592"
"9660","Gm43757"
"9661","Gm43754"
"9662","Gm42953"
"9663","Gm42954"
"9664","4933438B17Rik"
"9665","Gm43475"
"9666","4930572K03Rik"
"9667","Gm43476"
"9668","Tmem132c"
"9669","Tmem132cos"
"9670","Gm42980"
"9671","Slc15a4"
"9672","Glt1d1"
"9673","Tmem132d"
"9674","Gm42817"
"9675","Gm42495"
"9676","Gm42500"
"9677","4930573I07Rik"
"9678","5930412G12Rik"
"9679","Fzd10"
"9680","Piwil1"
"9681","Rimbp2"
"9682","Gm42875"
"9683","Stx2"
"9684","Ran"
"9685","Adgrd1"
"9686","Gm43001"
"9687","Sfswap"
"9688","Mmp17"
"9689","Zfp11"
"9690","Sept14"
"9691","Mrps17"
"9692","Gbas"
"9693","Psph"
"9694","Sumf2"
"9695","Phkg1"
"9696","Chchd2"
"9697","Zbed5"
"9698","Nupr1l"
"9699","Vkorc1l1"
"9700","Gusb"
"9701","Asl"
"9702","Crcp"
"9703","Tpst1"
"9704","Kctd7"
"9705","Rabgef1"
"9706","Tmem248"
"9707","Gm42469"
"9708","Sbds"
"9709","Tyw1"
"9710","Caln1"
"9711","A330070K13Rik"
"9712","Wbscr17"
"9713","Gm42590"
"9714","Auts2"
"9715","2810432F15Rik"
"9716","4930563F08Rik"
"9717","Gm42439"
"9718","Gm28616"
"9719","Gm42626"
"9720","Gm42624"
"9721","Gm15627"
"9722","Gatsl2"
"9723","Wbscr16"
"9724","Gtf2ird2"
"9725","Ncf1"
"9726","Gtf2i"
"9727","Gtf2ird1"
"9728","Gm42882"
"9729","Clip2"
"9730","Gm42884"
"9731","Syna"
"9732","Rfc2"
"9733","Lat2"
"9734","Eif4h"
"9735","Limk1"
"9736","Gm10369"
"9737","Eln"
"9738","Gm43278"
"9739","Wbscr28"
"9740","Cldn13"
"9741","4933439J24Rik"
"9742","Wbscr27"
"9743","Cldn4"
"9744","Cldn3"
"9745","Wbscr25"
"9746","Abhd11"
"9747","Abhd11os"
"9748","Stx1a"
"9749","Wbscr22"
"9750","Dnajc30"
"9751","Vps37d"
"9752","Mlxipl"
"9753","Gm43500"
"9754","Tbl2"
"9755","Bcl7b"
"9756","Baz1b"
"9757","Fzd9"
"9758","Fkbp6"
"9759","Trim50"
"9760","Nsun5"
"9761","Pom121"
"9762","Hip1"
"9763","Ccl26"
"9764","Ccl24"
"9765","Rhbdd2"
"9766","Gm43091"
"9767","Por"
"9768","Tmem120a"
"9769","Styxl1"
"9770","Mdh2"
"9771","Srrm3"
"9772","Srrm3os"
"9773","Hspb1"
"9774","Ywhag"
"9775","Ssc4d"
"9776","Zp3"
"9777","Dtx2"
"9778","Upk3b"
"9779","Upk3bl"
"9780","Rasa4"
"9781","Gm15701"
"9782","Polr2j"
"9783","Gm43604"
"9784","Lrwd1"
"9785","Alkbh4"
"9786","Orai2"
"9787","Prkrip1"
"9788","Sh2b2"
"9789","Cux1"
"9790","Gm16599"
"9791","Myl10"
"9792","Col26a1"
"9793","Ift22"
"9794","4933404O12Rik"
"9795","Fis1"
"9796","Cldn15"
"9797","Znhit1"
"9798","Plod3"
"9799","Vgf"
"9800","Ap1s1"
"9801","Serpine1"
"9802","Trim56"
"9803","Muc3"
"9804","Gm3054"
"9805","Gm42562"
"9806","Muc3a"
"9807","Gm42456"
"9808","Ache"
"9809","Ufsp1"
"9810","Srrt"
"9811","Trip6"
"9812","Slc12a9"
"9813","Ephb4"
"9814","Zan"
"9815","Epo"
"9816","Pop7"
"9817","9130604C24Rik"
"9818","Gm8066"
"9819","Gigyf1"
"9820","Gnb2"
"9821","Gm17112"
"9822","Actl6b"
"9823","Tfr2"
"9824","Mospd3"
"9825","Pcolce"
"9826","Fbxo24"
"9827","Gm36266"
"9828","Lrch4"
"9829","Gm20605"
"9830","Sap25"
"9831","Irs3"
"9832","Agfg2"
"9833","Gm15498"
"9834","Nyap1"
"9835","Tsc22d4"
"9836","Ppp1r35"
"9837","Mepce"
"9838","Zcwpw1"
"9839","Pilra"
"9840","Pilrb1"
"9841","Gm36551"
"9842","Pilrb2"
"9843","Gm43495"
"9844","Cyp3a13"
"9845","Gjc3"
"9846","Azgp1"
"9847","Smok3a"
"9848","Smok3b"
"9849","Smok3c"
"9850","Zkscan1"
"9851","Zscan21"
"9852","Zfp113"
"9853","Cops6"
"9854","Mcm7"
"9855","Ap4m1"
"9856","Taf6"
"9857","Cnpy4"
"9858","Mblac1"
"9859","Gm454"
"9860","Gm43645"
"9861","Nxpe5"
"9862","Lamtor4"
"9863","BC037034"
"9864","6330418K02Rik"
"9865","Gal3st4"
"9866","Gm43720"
"9867","Gpc2"
"9868","Stag3"
"9869","Gm10874"
"9870","Zfp157"
"9871","1700123K08Rik"
"9872","Zfp68"
"9873","A430033K04Rik"
"9874","Fam20c"
"9875","Gm5294"
"9876","Pdgfa"
"9877","6330403L08Rik"
"9878","Prkar1b"
"9879","Dnaaf5"
"9880","Sun1"
"9881","4930520M14Rik"
"9882","Get4"
"9883","Adap1"
"9884","Cox19"
"9885","Cyp2w1"
"9886","3110082I17Rik"
"9887","Gpr146"
"9888","C130050O18Rik"
"9889","Gper1"
"9890","Zfand2a"
"9891","4930500L23Rik"
"9892","Uncx"
"9893","Micall2"
"9894","Ints1"
"9895","Mafk"
"9896","Tmem184a"
"9897","Gm26938"
"9898","Psmg3"
"9899","Gm42423"
"9900","Elfn1"
"9901","Mad1l1"
"9902","Gm16122"
"9903","Gm16121"
"9904","Gm16120"
"9905","Nudt1"
"9906","Ftsj2"
"9907","Snx8"
"9908","Eif3b"
"9909","Chst12"
"9910","Gm42808"
"9911","Grifin"
"9912","Gm43703"
"9913","Lfng"
"9914","Ttyh3"
"9915","Iqce"
"9916","Brat1"
"9917","Amz1"
"9918","Gna12"
"9919","Card11"
"9920","Sdk1"
"9921","Gm16035"
"9922","Gm16036"
"9923","Foxk1"
"9924","Ap5z1"
"9925","Radil"
"9926","Papolb"
"9927","Mmd2"
"9928","Wipi2"
"9929","Slc29a4"
"9930","Tnrc18"
"9931","Fbxl18"
"9932","Actb"
"9933","Fscn1"
"9934","Rnf216"
"9935","Rbakdn"
"9936","Rbak"
"9937","Spdye4b"
"9938","Spdye4a"
"9939","4930448H16Rik"
"9940","Zfp12"
"9941","Zfp316"
"9942","BC030343"
"9943","Zfp853"
"9944","E130309D02Rik"
"9945","Zdhhc4"
"9946","0610040B10Rik"
"9947","Gm43397"
"9948","Grid2ip"
"9949","Gm20635"
"9950","Gm42504"
"9951","Kdelr2"
"9952","Daglb"
"9953","Rac1"
"9954","Fam220a"
"9955","Cyth3"
"9956","Usp42"
"9957","D130017N08Rik"
"9958","D130017N08Rik.1"
"9959","Eif2ak1"
"9960","Ankrd61"
"9961","Aimp2"
"9962","Pms2"
"9963","Gm17135"
"9964","Gm42421"
"9965","Rsph10b"
"9966","Ccz1"
"9967","Ocm"
"9968","Lmtk2"
"9969","Bhlha15"
"9970","Tecpr1"
"9971","2900089D17Rik"
"9972","Bri3"
"9973","Baiap2l1"
"9974","Nptx2"
"9975","Tmem130"
"9976","Trrap"
"9977","Smurf1"
"9978","Kpna7"
"9979","Gm4871"
"9980","Gm43562"
"9981","1700018F24Rik"
"9982","Arpc1a"
"9983","Arpc1b"
"9984","Pdap1"
"9985","Bud31"
"9986","Ptcd1"
"9987","Cpsf4"
"9988","Atp5j2"
"9989","Zkscan14"
"9990","Zkscan5"
"9991","Zfp655"
"9992","Zscan25"
"9993","Cyp3a57"
"9994","Cyp3a16"
"9995","Cyp3a41b"
"9996","Cyp3a41a"
"9997","Cyp3a44"
"9998","Cyp3a11"
"9999","Cyp3a25"
"10000","Cyp3a59"
"10001","Gm5565"
"10002","Gm6309"
"10003","1700001J03Rik"
"10004","B230303O12Rik"
"10005","Gm43625"
"10006","Rnf6"
"10007","Cdk8"
"10008","Wasf3"
"10009","Gm6408"
"10010","Gm6370"
"10011","4930449I24Rik"
"10012","Gm3402"
"10013","Gm3404"
"10014","Gm3409"
"10015","Gm3415"
"10016","Gpr12"
"10017","Gm34333"
"10018","4930573C15Rik"
"10019","Usp12"
"10020","Gm43741"
"10021","Rpl21"
"10022","Rasl11a"
"10023","Gtf3a"
"10024","Mtif3"
"10025","Lnx2"
"10026","Polr1d"
"10027","Gsx1"
"10028","2210019I11Rik"
"10029","Pdx1"
"10030","Gm27033"
"10031","Cdx2"
"10032","Urad"
"10033","Flt3"
"10034","Gm26597"
"10035","D5Ertd605e"
"10036","Pan3"
"10037","Flt1"
"10038","Gm43156"
"10039","Pomp"
"10040","Slc46a3"
"10041","Gm15721"
"10042","Mtus2"
"10043","Slc7a1"
"10044","Ubl3"
"10045","Gm36186"
"10046","2210417A02Rik"
"10047","4930505K14Rik"
"10048","Gm15407"
"10049","Katnal1"
"10050","Gm42791"
"10051","Gm15410"
"10052","Gm15406"
"10053","8430423G03Rik"
"10054","Gm15409"
"10055","5930430L01Rik"
"10056","Gm15408"
"10057","Hmgb1"
"10058","5730422E09Rik"
"10059","Gm42787"
"10060","Gm42788"
"10061","Gm43332"
"10062","Uspl1"
"10063","2310047D07Rik"
"10064","Gm29264"
"10065","Alox5ap"
"10066","Gm19719"
"10067","BC028471"
"10068","Medag"
"10069","Gm43151"
"10070","Gm43150"
"10071","Tex26"
"10072","Gm15997"
"10073","Wdr95"
"10074","Hsph1"
"10075","Gm43153"
"10076","B3glct"
"10077","Gm21221"
"10078","Gm43450"
"10079","Gm43452"
"10080","Rxfp2"
"10081","Gm42557"
"10082","Fry"
"10083","Gm42556"
"10084","Gm5"
"10085","Zar1l"
"10086","Brca2"
"10087","Gm42529"
"10088","Gm43690"
"10089","N4bp2l1"
"10090","Gm43598"
"10091","Gm43597"
"10092","N4bp2l2"
"10093","Pds5b"
"10094","Gm43299"
"10095","Gm43298"
"10096","Kl"
"10097","Stard13"
"10098","Gm42906"
"10099","Gm42904"
"10100","D730045B01Rik"
"10101","Vmn2r18"
"10102","Rfc3"
"10103","Gm43129"
"10104","Gm8579"
"10105","Samd9l"
"10106","Hepacam2"
"10107","Vps50"
"10108","Calcr"
"10109","Tfpi2"
"10110","Gngt1"
"10111","Gng11"
"10112","Gm43986"
"10113","Bet1"
"10114","Col1a2"
"10115","Casd1"
"10116","Sgce"
"10117","Peg10"
"10118","Gm20714"
"10119","Ppp1r9a"
"10120","Pon1"
"10121","Pon3"
"10122","Pon2"
"10123","Asb4"
"10124","Pdk4"
"10125","Dync1i1"
"10126","1700019G24Rik"
"10127","Slc25a13"
"10128","Gm20619"
"10129","Gm20617"
"10130","Gm20685"
"10131","Shfm1"
"10132","Gm20618"
"10133","Dlx6os1"
"10134","Dlx6"
"10135","Dlx5"
"10136","Gm26774"
"10137","Sdhaf3"
"10138","Gm19272"
"10139","Tac1"
"10140","Asns"
"10141","Gm44217"
"10142","C1galt1"
"10143","Col28a1"
"10144","Mios"
"10145","Rpa3"
"10146","Umad1"
"10147","Umad1.1"
"10148","Gm16055"
"10149","Gm16043"
"10150","Glcci1"
"10151","Ica1"
"10152","Nxph1"
"10153","Gm44004"
"10154","AA545190"
"10155","Ndufa4"
"10156","Phf14"
"10157","Thsd7a"
"10158","Gm44129"
"10159","Tmem106b"
"10160","Vwde"
"10161","1700016P04Rik"
"10162","Tmem168"
"10163","B630005N14Rik"
"10164","Gpr85"
"10165","2610001J05Rik"
"10166","1110019D14Rik"
"10167","Ppp1r3a"
"10168","Foxp2"
"10169","Mdfic"
"10170","Gm43998"
"10171","Gm36669"
"10172","Tfec"
"10173","Gm15473"
"10174","Gm4876"
"10175","Tes"
"10176","D830026I12Rik"
"10177","Gm15581"
"10178","Cav2"
"10179","Cav1"
"10180","Gm29591"
"10181","Met"
"10182","Capza2"
"10183","St7"
"10184","Gm26738"
"10185","Wnt2"
"10186","Asz1"
"10187","Cftr"
"10188","Gm15592"
"10189","Cttnbp2"
"10190","Gm15594"
"10191","Gm26809"
"10192","Gm20186"
"10193","Lsm8"
"10194","Ankrd7"
"10195","4930524B17Rik"
"10196","Kcnd2"
"10197","Tspan12"
"10198","Gm42582"
"10199","Gm3289"
"10200","Ing3"
"10201","Gm26719"
"10202","Cped1"
"10203","Wnt16"
"10204","Fam3c"
"10205","Ptprz1"
"10206","Aass"
"10207","Fezf1"
"10208","Cadps2"
"10209","Rnf133"
"10210","Rnf148"
"10211","Tas2r118"
"10212","Slc13a1"
"10213","Iqub"
"10214","Ndufa5"
"10215","Asb15"
"10216","Lmod2"
"10217","Wasl"
"10218","Hyal6"
"10219","Hyal4"
"10220","Spam1"
"10221","Hyal5"
"10222","Tmem229a"
"10223","Gpr37"
"10224","Pot1a"
"10225","Gm20756"
"10226","Grm8"
"10227","6530409C15Rik"
"10228","Zfp800"
"10229","Gcc1"
"10230","Arf5"
"10231","Fscn3"
"10232","Pax4"
"10233","Snd1"
"10234","Lrrc4"
"10235","Gm3294"
"10236","Lep"
"10237","Rbm28"
"10238","Prrt4"
"10239","Impdh1"
"10240","Hilpda"
"10241","Fam71f2"
"10242","Fam71f1"
"10243","Gm17172"
"10244","Calu"
"10245","Opn1sw"
"10246","Ccdc136"
"10247","Flnc"
"10248","Atp6v1f"
"10249","Gm9047"
"10250","Kcp"
"10251","Gm26627"
"10252","Irf5"
"10253","Tnpo3"
"10254","Tspan33"
"10255","Smo"
"10256","Ahcyl2"
"10257","Strip2"
"10258","Smkr-ps"
"10259","Nrf1"
"10260","Ube2h"
"10261","1700095J07Rik"
"10262","Zc3hc1"
"10263","Klhdc10"
"10264","1700012C14Rik"
"10265","Tmem209"
"10266","Ssmem1"
"10267","Cpa2"
"10268","Cpa4"
"10269","Gm13781"
"10270","Cpa5"
"10271","Cpa1"
