"","x"
"309","Gm28055"
"310","Myo1b"
"311","Stat4"
"312","Stat1"
"313","Gls"
"314","Nab1"
"315","Gm553"
"316","Gm28178"
"317","Tmem194b"
"318","Mfsd6"
"319","Inpp1"
"320","Hibch"
"321","1700019D03Rik"
"322","Mstn"
"323","1700019A02Rik"
"324","Pms1"
"325","Gm28777"
"326","Ormdl1"
"327","Gm28778"
"328","Osgepl1"
"329","Gm28551"
"330","Asnsd1"
"331","Dnah7a"
"332","Stk17b"
"333","Hecw2"
"334","Ccdc150"
"335","Gtf3c3"
"336","Pgap1"
"337","Ankrd44"
"338","4930444A19Rik"
"339","Sf3b1"
"340","Coq10b"
"341","Hspd1"
"342","Hspe1"
"343","Mob4"
"344","Rftn2"
"345","Gm10561"
"346","Mars2"
"347","Boll"
"348","Plcl1"
"349","9130227L01Rik"
"350","1700003I22Rik"
"351","Gm28240"
"352","Hsfy2"
"353","Satb2"
"354","1700126A01Rik"
"355","BC055402"
"356","4930558J18Rik"
"357","1700066M21Rik"
"358","Tyw5"
"359","9430016H08Rik"
"360","Spats2l"
"361","Gm17234"
"362","Kctd18"
"363","Sgol2a"
"364","Aox1"
"365","Aox3"
"366","Aox4"
"367","Gm15759"
"368","Aox2"
"369","Bzw1"
"370","Clk1"
"371","Ppil3"
"372","Nif3l1"
"373","Orc2"
"374","Gm15834"
"375","Fam126b"
"376","Ndufb3"
"377","Als2cr12"
"378","Cflar"
"379","Casp8"
"380","Trak2"
"381","Stradb"
"382","Gm29018"
"383","Als2cr11"
"384","Tmem237"
"385","G730003C15Rik"
"386","Mpp4"
"387","Gm29017"
"388","Als2"
"389","Cdk15"
"390","Gm29016"
"391","Fzd7"
"392","Gm26813"
"393","Gm973"
"394","Gm28411"
"395","1700122D07Rik"
"396","Sumo1"
"397","Nop58"
"398","Bmpr2"
"399","Fam117b"
"400","Ica1l"
"401","Wdr12"
"402","Carf"
"403","Nbeal1"
"404","Cyp20a1"
"405","Abi2"
"406","Raph1"
"407","Cd28"
"408","Gm11579"
"409","2310016D23Rik"
"410","Ctla4"
"411","Icos"
"412","Gm28083"
"413","Gm11587"
"414","9530026F06Rik"
"415","Gm11588"
"416","Gm28449"
"417","4930587A21Rik"
"418","Pard3b"
"419","Pard3bos1"
"420","Pard3bos2"
"421","Pard3bos3"
"422","Gm29084"
"423","Nrp2"
"424","Gm29083"
"425","Gm4208"
"426","Ino80d"
"427","Ino80dos"
"428","Gm20342"
"429","Ndufs1"
"430","Eef1b2"
"431","Gpr1"
"432","Gm11608"
"433","Zdbf2"
"434","Adam23"
"435","Dytn"
"436","Mdh1b"
"437","Fastkd2"
"438","4933402D24Rik"
"439","Gm13749"
"440","Klf7"
"441","Gm26649"
"442","Gm13748"
"443","Gm28981"
"444","Creb1"
"445","Mettl21a"
"446","Gm28982"
"447","Gm29152"
"448","Ccnyl1"
"449","Fzd5"
"450","Plekhm3"
"451","Akr1cl"
"452","Cryge"
"453","Crygd"
"454","Crygc"
"455","Crygb"
"456","Cryga"
"457","Gm28845"
"458","D630023F18Rik"
"459","Idh1"
"460","Pikfyve"
"461","Pth2r"
"462","Crygf"
"463","Map2"
"464","Gm10558"
"465","Unc80"
"466","Rpe"
"467","Kansl1l"
"468","Acadl"
"469","Myl1"
"470","Lancl1"
"471","Cps1"
"472","Gm15668"
"473","Gm15669"
"474","Gm15671"
"475","Erbb4"
"476","Gm28497"
"477","Gm29113"
"478","Gm29114"
"479","Ikzf2"
"480","Spag16"
"481","Vwc2l"
"482","Bard1"
"483","Abca12"
"484","Atic"
"485","Fn1"
"486","Apol7d"
"487","Gm8883"
"488","Gm28818"
"489","4933417E11Rik"
"490","4930556G22Rik"
"491","Gm4319"
"492","Mreg"
"493","D230017M19Rik"
"494","Pecr"
"495","Tmem169"
"496","Xrcc5"
"497","March4"
"498","Smarcal1"
"499","Ankar"
"500","Rpl37a"
"501","Igfbp2"
"502","Igfbp5"
"503","1700027A15Rik"
"504","Tnp1"
"505","Gm29185"
"506","Pinc"
"507","D530049I02Rik"
"508","C530043A13Rik"
"509","Gm29186"
"510","6030407O03Rik"
"511","Gm29183"
"512","Tns1"
"513","Rufy4"
"514","Cxcr2"
"515","Cxcr1"
"516","Arpc2"
"517","Gpbar1"
"518","Aamp"
"519","Gm28364"
"520","Pnkd"
"521","Tmbim1"
"522","Catip"
"523","Slc11a1"
"524","Ctdsp1"
"525","Vil1"
"526","Usp37"
"527","Rqcd1"
"528","Plcd4"
"529","Zfp142"
"530","Bcs1l"
"531","Rnf25"
"532","Stk36"
"533","Ttll4"
"534","Cyp27a1"
"535","Prkag3"
"536","Wnt6"
"537","Gm29539"
"538","Wnt10a"
"539","Cdk5r2"
"540","Fev"
"541","Cryba2"
"542","Ccdc108"
"543","Gm15841"
"544","Ihh"
"545","Nhej1"
"546","Slc23a3"
"547","Cnppd1"
"548","Fam134a"
"549","Zfand2b"
"550","Abcb6"
"551","Atg9a"
"552","Ankzf1"
"553","Glb1l"
"554","Stk16"
"555","Tuba4a"
"556","A630095N17Rik"
"557","Dnajb2"
"558","Ptprn"
"559","Gm28294"
"560","Resp18"
"561","Gm28902"
"562","Dnpep"
"563","Des"
"564","Gm15179"
"565","Speg"
"566","Gm15178"
"567","Gmppa"
"568","Asic4"
"569","Chpf"
